Description,location,Carpet_Area_sqft,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car_Parking,Ownership,Price__in_rupees_
"This magnificent 3 BHK Flat is available for sale in Chittethukara, Kochi. It is based at Trinity World complex, that occupies a prominent place in the locality. This flat for resale is just the type of property you have been searching for! This ready to move flat in Chittethukara comes at an affordable price of INR 90 Lac. The flat is furnished and is suitable for any family size. Some neighbouring landmarks are 300 mtr from seaport airport road, 2.5 km from info park.",kochi,1768,Ready to Move,20,Resale,Furnished,North,"Garden/Park, Pool, Main Road",Trinity World,3,2,1,Freehold,"5090"
"Gota, Ahmedabad has an appealing 3 BHK flat for sale with various amenities. Strategically situated in the Shree Hari Shayona Aagman Phase Ii Block A And B site, it is placed at a prime location. This is a desirable apartment for resale. This apartment ready to move in the Gota is available for an attractive price of INR 1 Cr. Available in furnished state, this flat is a great buy. The flat is in close proximity to prominent landmarks like vandematram road..",ahmedabad,1962,Ready to Move,2,Resale,Furnished,East,"Garden/Park, Main Road",Shree Hari Shayona Aagman Phase II Block A And B,3,2,1,Freehold,"5097"
"Have a look at this immaculate 5 BHK flat for sale in Vesu, Surat. Situated in the Sangini Swapna township, it has a prime location. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! This ready to move property in Vesu is readily available within an affordable cost of INR 1.81 Cr. The flat is sold in furnished condition. The flat is in close proximity to prominent landmarks like vesu.",surat,3000,Ready to Move,8,Resale,Furnished,East,Garden/Park,Sangini Swapna,4,2,1,Freehold,"5171"
"Creatively planned and constructed is a 3 BHK flat for sale in Falnir, Mangalore. It is in a prime location within the Mohtisham Legend. This apartment for resale is a great choice. This ready to move flat located in Falnir is available for purchase at a fair price of INR 1.30 Cr. You will find it furnished. The prime landmarks near this property are near unity hospital.",mangalore,2100,Ready to Move,11,Resale,Furnished,West,"Main Road, Garden/Park",Mohtisham Legend,3,3,0,Freehold,"5200"
"3 BHK flat available for sale in Surat in the prime location of Parley Point. Ideally situated in the Manav Mandir township it enjoys a prime location. Invest your valuable money in this flat that is for resale. Located in Parley Point, this ready to move apartment is sold at a fair selling price of INR 1.25 Cr. You will find it furnished. Some neighbouring landmarks are above bata showroom.",surat,2400,Ready to Move,3,Resale,Furnished,East,"Garden/Park, Main Road",Manav Mandir,4,0,1,Freehold,"5208"
penthouse with garden,kolkata,2400,Ready to Move,4,Resale,Furnished,North - East,Garden/Park,Shivam Apartments,2,2,0,Freehold,"5370"
"This gorgeous 6 BHK Flat is available for sale in Alpha 2, Greater Noida. This flat is placed in a marvellous location within the Golf Gardenia complex. This apartment for resale is a great choice. This ready to move flat is offered at an economical price of INR 1.95 Cr. Available in furnished state, this flat is a great buy.",greater-noida,3600,Ready to Move,9,Resale,Furnished,East,"Pool, Garden/Park, Main Road",Golf Gardenia,5,7,0,Freehold,"5417"
"This magnificent 4 BHK Flat is available for sale in Vasna Bhayli Main Road, Vadodara. It is in a prime location within the Kp Luxuria. This flat all equipped with required facilities, is up for resale. This ready to move flat in Vasna Bhayli Main Road is available for a reasonable price of INR 2 Cr. It is furnished to accommodate your needs. bright day school. are some of the well-known landmarks in this locality.",vadodara,2400,Ready to Move,1,Resale,Furnished,East,"Garden/Park, Pool, Main Road",KP Luxuria,5,2,1,Freehold,"5556"
"This attractive 4 BHK apartment can be found for sale in Sohna Sector 32, Gurgaon. Situated in the Clover Floors township, it has a prime location. This apartment for sale is a great choice. You can buy this ready to move flat in Sohna Sector 32 at a reasonable price of INR 1.30 Cr. This leading project is ready for possession as of Jul '23. It is furnished to accommodate your needs. k.r.mangalm university sohna road sector 33 sohna gurgaon are a few nearby landmarks.",gurgaon,1950,Ready to Move,2,New Property,Furnished,North - East,Garden/Park,Clover Floors,4,6,1,Freehold,"5562"
"This gorgeous 3 BHK Flat is available for sale in Atur Nagar, Pune. This flat is situated in the Nyati Esteban I township and is equipped with premium facilities. This flat for resale is a choice property. This apartment in one of the significant areas of Atur Nagar is ready to move, and can be purchased at the best price of INR 1.45 Cr. The flat is available in furnished condition. This 3 BHK flat boasts of being in close proximity to significant landmarks like undri city center dorabjee moll, desai hospital uro school bishop sch that enhance the overall living experience.",pune,2259,Ready to Move,1,Resale,Furnished,East,Pool,Nyati Esteban I,3,3,1,Co-operative Society,"5577"
"4 BHK flat available for sale in Vadodara in the prime location of Vasant Vihar. Enjoying a prime location, this property is housed in the The Oakwood society. This apartment for resale is a great choice. The ready to move flat in Vasant Vihar is all ready for sale at a low-priced budget of INR 2.35 Cr. The flat is furnished and is suitable for any family size. Some of the landmarks in the vicinity include landmarks such as close to school, close to hospital, close to railway.",vadodara,3000,Ready to Move,7,Resale,Furnished,East,"Garden/Park, Main Road",The Oakwood,4,3,2,Freehold,"5595"
"Kakkanad, Kochi has an attractive 3 BHK Flat for sale. It is in a prime location within the Ultima Skymax. This flat is an attractive property for resale. This apartment in one of the significant areas of Kakkanad is ready to move, and can be purchased at the best price of INR 1.40 Cr. This immaculate flat boasts of coming in furnished form which takes the entire deal to the next level. The flat is easily approachable because it is near to info park and seaport airport road..",kochi,2000,Ready to Move,7,Resale,Furnished,East,Main Road,Ultima Skymax,4,2,1,Freehold,"5600"
"Creatively planned and constructed is a 3 BHK flat for sale in Sector 81, Faridabad. This flat is placed in a marvellous location within the Bptp Eden Estate Sector 81 complex. This flat is an attractive property for sale. This apartment ready to move in the Sector 81 is available for an attractive price of INR 1.38 Cr. It is a furnished apartment. Landmarks near the apartment include near sector 14 and omaxe world street faridabad.",faridabad,2150,Ready to Move,1,New Property,Furnished,East,"Garden/Park, Main Road",Bptp Eden Estate Sector 81,3,2,2,Freehold,"5653"
"Creatively planned and constructed is a 4 BHK flat for sale in Sector 89, Faridabad. The property is ideally located in a strategic location in Tdi The Retreat township. This flat all equipped with required facilities, is up for resale. In Sector 89, this ready to move flat is available at an attractive price of INR 1.70 Cr. The flat is uniquely designed to enhance the living style. It is furnished, studded with all the basic facilities. amma hospital are some of the well-known landmarks in this locality.",faridabad,2800,Ready to Move,3,Resale,Furnished,West,"Garden/Park, Main Road",TDI The Retreat,4,2,0,Freehold,"5667"
"Vijayapuri Colony, Guntur has an appealing 4 BHK flat for sale with various amenities. It is in a prime location within the Sri Sri Fountain Head. This is one of the best properties available for resale. This ready to move flat in Vijayapuri Colony comes at an affordable price of INR 1.79 Cr. The flat is sold in furnished condition. Some neighbouring landmarks are dmart, college and schools.",guntur,2400,Ready to Move,4,Resale,Furnished,East,Main Road,Sri Sri Fountain Head,3,3,0,Freehold,"5683"
"Sector 45, Faridabad has an appealing 3 BHK flat for sale with various amenities. Situated in the Urja Vihar Cghs township, it has a prime location. This flat for resale is a choice property. The ready to move flat in the prime area of Sector 45 is available at a reasonable price of INR 1.20 Cr. This contemporary apartment is furnished. The property is strategically placed near prominent places as near by mewla maharaj metro station. which make for the smooth living of residents.",faridabad,1853,Ready to Move,2,Resale,Furnished,West,Garden/Park,Urja Vihar CGHS,3,5,0,Freehold,"5714"
"Have a look at this immaculate 3 BHK flat for sale in Sector 81, Faridabad. Situated in the excellent Bptp Eden Estate Sector 81 township. The flat enjoys a prime location. This flat for sale has a desirable location. This ready to move flat located in Sector 81 is available for purchase at a fair price of INR 1.40 Cr. This premium furnished flat spells quality and comfort at a competitive price. Significant landmarks in its proximity are near omaxe world street ,bata chowk metro statioan and sector 14..",faridabad,2040,Ready to Move,1,New Property,Furnished,East,"Garden/Park, Main Road",Bptp Eden Estate Sector 81,4,2,2,Freehold,"5735"
"Sector 89, Faridabad has an appealing 4 BHK flat for sale with various amenities. Ideally situated in the Tdi The Retreat township it enjoys a prime location. This apartment for sale is a great choice. This ready to move flat in Sector 89 can be availed at a reasonable price of INR 2.60 Cr. It is furnished to accommodate your needs. The prime landmarks near this property are walking amrita hospital or 75 metter road.",faridabad,3980,Ready to Move,3,New Property,Furnished,East,Garden/Park,TDI The Retreat,5,2,2,Freehold,"5778"
"This lovely 3 BHK Flat in Kowdiar, Trivandrum is up for sale. This flat is placed in a marvellous location within the Heera Palace complex. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! The ready to move flat in the prime area of Kowdiar is available at a reasonable price of INR 1.05 Cr. The flat is uniquely designed to enhance the living style. It is furnished, studded with all the basic facilities. flat for sale near kowdiar are a few nearby landmarks.",trivandrum,1817,Ready to Move,10,Resale,Furnished,East,Main Road,Heera Palace,4,2,1,Freehold,"5779"
"Carefully laid out in the prime location of Sector 81 in Faridabad, this spacious 4 BHK flat on sale is a meticulously planned project. This flat is placed in a marvellous location within the Bptp Eden Estate Sector 81 complex. This is a desirable apartment for sale. The ready to move flat in Sector 81 is all ready for sale at a low-priced budget of INR 1.40 Cr. It is a furnished apartment. sector 14 are a few nearby landmarks.",faridabad,2421,Ready to Move,1,New Property,Furnished,West,Main Road,Bptp Eden Estate Sector 81,3,2,1,Freehold,"5783"
"5 BHK flat available for sale in Greater Noida in the prime location of Gamma 2. It is housed in the well-planned The Kings Reserve township in an advantageous location. This flat all equipped with required facilities, is up for resale. The ready to move flat in Gamma 2 is all ready for sale at a low-priced budget of INR 2.43 Cr. This premium furnished flat spells quality and comfort at a competitive price. Significant landmarks in its proximity are this property is close to mall school and road and collage metro bus.",greater-noida,3800,Ready to Move,5,Resale,Furnished,South - East,"Garden/Park, Pool",The Kings Reserve,5,4,1,Leasehold,"5786"
"This gorgeous 3 BHK Flat is available for sale in Thaltej, Ahmedabad. Take the experience of contemporary living to a new high, with exquisitely designed apartments at La Habitat. This is one of the best properties available for resale. This ready to move flat in Thaltej is available for a reasonable price of INR 1.15 Cr. It is furnished to accommodate your needs. Prominent landmarks in and around this locality are science city.",ahmedabad,1980,Ready to Move,2,Resale,Furnished,South,Main Road,La Habitat,3,2,1,Freehold,"5808"
"Up for immediate sale is a 3 BHK apartment in Diwalipura, Vadodara. Don't miss this bargain flat for sale. This flat is placed in a marvellous location within the Mangla Shakuntal Flats complex. This apartment is a property of choice for resale. This ready to move property in Diwalipura is readily available within an affordable cost of INR 1.25 Cr. It is a furnished apartment. Some neighbouring landmarks are good locality, prime location, near by main road..",vadodara,1830,Ready to Move,1,Resale,Furnished,East,"Garden/Park, Main Road",Mangla Shakuntal Flats,4,3,1,Freehold,"5814"
"This exquisite 3 BHK Flat is offered for sale in Vaishali Nagar, Jaipur. It enjoys an excellent location within the Saurabh Tower. This flat all equipped with required facilities, is up for sale. This apartment ready to move in the Vaishali Nagar is available for an attractive price of INR 1.40 Cr. You will find it furnished.",jaipur,2600,Ready to Move,6,New Property,Furnished,West,Main Road,Saurabh Tower,3,3,0,Freehold,"5833"
"Zeta 1, Greater Noida has an attractive 3 BHK Flat for sale. This flat is situated in the Purvanchal Heights township and is equipped with premium facilities. This flat for resale has a desirable location. This ready to move flat in Zeta 1 can be taken at a very economical pricing of INR 1.08 Cr. You will find it furnished. pari chowk are some of the key nearby landmarks.",greater-noida,1700,Ready to Move,8,Resale,Furnished,North - East,Garden/Park,Purvanchal Heights,3,1,1,Leasehold,"5902"
